"filename", "language", "CSS", "JavaScript", "JavaScript JSX", "comment", "blank", "total"
"e:\FEWD\Portfolio\src\App.js", "JavaScript", 0, 23, 0, 0, 3, 26
"e:\FEWD\Portfolio\src\components\About.jsx", "JavaScript JSX", 0, 0, 630, 0, 8, 638
"e:\FEWD\Portfolio\src\components\Contact.jsx", "JavaScript JSX", 0, 0, 635, 0, 9, 644
"e:\FEWD\Portfolio\src\components\Home.jsx", "JavaScript JSX", 0, 0, 609, 0, 11, 620
"e:\FEWD\Portfolio\src\components\MyStack.jsx", "JavaScript JSX", 0, 0, 697, 0, 10, 707
"e:\FEWD\Portfolio\src\components\MyWork.jsx", "JavaScript JSX", 0, 0, 654, 0, 10, 664
"e:\FEWD\Portfolio\src\components\NavBar.jsx", "JavaScript JSX", 0, 0, 78, 0, 8, 86
"e:\FEWD\Portfolio\src\components\Socials.jsx", "JavaScript JSX", 0, 0, 97, 0, 10, 107
"e:\FEWD\Portfolio\src\components\VerCon.jsx", "JavaScript JSX", 0, 0, 11, 0, 2, 13
"e:\FEWD\Portfolio\src\index.css", "CSS", 65, 0, 0, 6, 10, 81
"e:\FEWD\Portfolio\src\index.js", "JavaScript", 0, 10, 0, 0, 5, 15
"Total", "-", 65, 33, 3411, 6, 86, 3601
